repo,latest_version,pre_release_tag
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.21
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.20
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.19
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.18
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.17
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.16
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.15
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.14
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.13
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.12
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.11
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.10
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.9
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.8
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.7
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.6
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.5
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.4
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.3
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.2
edgex-ui-go,1.2.2-dev.4,v1.2.0-dev.1
device-random,1.2.2-dev.1,v1.2.1-dev.2
device-random,1.2.2-dev.1,v1.2.1-dev.1
device-random,1.2.2-dev.1,v1.2.0-dev.5
device-random,1.2.2-dev.1,v1.2.0-dev.4
device-random,1.2.2-dev.1,v1.2.0-dev.3
device-random,1.2.2-dev.1,v1.2.0-dev.2
device-random,1.2.2-dev.1,v1.2.0-dev.1
device-mqtt-go,1.2.2-dev.1,v1.2.1-dev.4
device-mqtt-go,1.2.2-dev.1,v1.2.1-dev.3
device-mqtt-go,1.2.2-dev.1,v1.2.1-dev.2
device-mqtt-go,1.2.2-dev.1,v1.2.1-dev.1
device-mqtt-go,1.2.2-dev.1,v1.2.0-dev.6
device-mqtt-go,1.2.2-dev.1,v1.2.0-dev.5
device-mqtt-go,1.2.2-dev.1,v1.2.0-dev.4
device-mqtt-go,1.2.2-dev.1,v1.2.0-dev.3
device-mqtt-go,1.2.2-dev.1,v1.2.0-dev.2
device-mqtt-go,1.2.2-dev.1,v1.2.0-dev.1
device-modbus-go,1.2.1,v1.2.1-dev.3
device-modbus-go,1.2.1,v1.2.1-dev.2
device-modbus-go,1.2.1,v1.2.1-dev.1
device-modbus-go,1.2.1,v1.2.0-dev.9
device-modbus-go,1.2.1,v1.2.0-dev.8
device-modbus-go,1.2.1,v1.2.0-dev.7
device-modbus-go,1.2.1,v1.2.0-dev.6
device-modbus-go,1.2.1,v1.2.0-dev.5
device-modbus-go,1.2.1,v1.2.0-dev.4
device-modbus-go,1.2.1,v1.2.0-dev.3
device-modbus-go,1.2.1,v1.2.0-dev.2
device-modbus-go,1.2.1,v1.2.0-dev.1
device-grove-c,1.2.0,v1.2.0-dev.3
device-grove-c,1.2.0,v1.2.0-dev.2
device-grove-c,1.2.0,v1.2.0-dev.1
demo-grove-pi,,
device-camera-go,1.1.2-dev.1,v1.1.1-dev.1
device-camera-go,1.1.2-dev.1,v1.0.1-dev.5
device-camera-go,1.1.2-dev.1,v1.0.1-dev.4
device-camera-go,1.1.2-dev.1,v1.0.1-dev.3
device-camera-go,1.1.2-dev.1,v1.0.1-dev.2
